Name,English Name,Operator,Output (MW),Latitude,Longitude
Zonnepark Halo,,,1,,
Zonnepark Vlieland,,,1,53.2543225,4.9432525
Zonnepark WEN,,Wijnjewoude Energie Neutraal,1,53.0479836,6.1974003
Zonnepark De Lindenbergh,,,0.959,52.5387066,6.4050402
Zonneweide Boerhof,,,0.9,52.3299057,6.2844902
Zonnepark RWZI Oldenzaal,,,0.841,52.3110834,6.8929763
Zonnepark Parkway6,,,0.8,52.3806119,5.3027605
Zonnepark Symbizon,,,0.7,52.3768587,5.3006291
Zonnepark Zeijen,,Vrij Op Naam Zonnepark 1 B.V,0.596,,
Zonnepark A4 Rijsenhout,,,0.5,52.2552301,4.6809089
Zonnepark Meijewetering,,,0.5,52.1137424,5.0360387
zonnepark Hee,,energiecoöperatie Terschelling Energie,0.5,53.3767040,5.2559932
Zonnepark 't Zandt,,,0.4,53.3639019,6.7768899
Eco-zonnepark 't Oor,,Energie van Hollandsche bodem,0.275,52.0833716,4.3527531
Zonnepark Maassluis,,,0.25,51.9076104,4.2702873
